"filename", "language", "Markdown", "JSON", "YAML", "Dart", "Svelte", "Swift", "Groovy", "XML", "Java", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/README.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 39
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/analysis_options.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/lib/device_preview_screenshot.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/lib/src/processors/base64.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 3, 22
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/lib/src/processors/file.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 5, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/lib/src/processors/processor.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/lib/src/section.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 28, 8, 124
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/packages/device_preview_screenshot-1.0.0/pubspec.yaml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/pubspec.yaml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 2, 10
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/README.md", "Markdown", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -49
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/components/Footer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/About.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/Home.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/PrivacyPolicy.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/Support.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 495, 81, 26, 187, 0, 2, 44, 9, 24, -14, 54, 908
